country,iso_code,year,resource,metric,value,unit,source,region
Australia,AUS,1972,Oil,Consumption,311.033,EJ,OWID,
Australia,AUS,1973,Oil,Consumption,331.893,EJ,OWID,
Australia,AUS,1974,Oil,Consumption,351.735,EJ,OWID,
Australia,AUS,1975,Oil,Consumption,348.104,EJ,OWID,
Australia,AUS,1976,Oil,Consumption,355.821,EJ,OWID,
Australia,AUS,1977,Oil,Consumption,372.601,EJ,OWID,
Australia,AUS,1978,Oil,Consumption,380.947,EJ,OWID,
Australia,AUS,1979,Oil,Consumption,385.915,EJ,OWID,
Australia,AUS,1980,Oil,Consumption,367.768,EJ,OWID,
Australia,AUS,1981,Oil,Consumption,362.418,EJ,OWID,
Australia,AUS,1982,Oil,Consumption,356.849,EJ,OWID,
Australia,AUS,1983,Oil,Consumption,340.716,EJ,OWID,
Australia,AUS,1984,Oil,Consumption,349.914,EJ,OWID,
Australia,AUS,1985,Oil,Consumption,351.524,EJ,OWID,
Australia,AUS,1986,Oil,Consumption,345.653,EJ,OWID,
Australia,AUS,1987,Oil,Consumption,353.026,EJ,OWID,
Australia,AUS,1988,Oil,Consumption,369.837,EJ,OWID,
Australia,AUS,1989,Oil,Consumption,384.145,EJ,OWID,
Australia,AUS,1990,Oil,Consumption,392.904,EJ,OWID,
Australia,AUS,1991,Oil,Consumption,381.255,EJ,OWID,
Australia,AUS,1992,Oil,Consumption,388.779,EJ,OWID,
Australia,AUS,1993,Oil,Consumption,402.416,EJ,OWID,
Australia,AUS,1994,Oil,Consumption,415.674,EJ,OWID,
Australia,AUS,1995,Oil,Consumption,427.777,EJ,OWID,
Australia,AUS,1996,Oil,Consumption,439.015,EJ,OWID,
Australia,AUS,1997,Oil,Consumption,446.058,EJ,OWID,
Australia,AUS,1998,Oil,Consumption,445.97,EJ,OWID,
Australia,AUS,1999,Oil,Consumption,456.154,EJ,OWID,
Australia,AUS,2000,Oil,Consumption,455.982,EJ,OWID,
Australia,AUS,2001,Oil,Consumption,457.085,EJ,OWID,
Australia,AUS,2002,Oil,Consumption,461.975,EJ,OWID,
Australia,AUS,2003,Oil,Consumption,460.26,EJ,OWID,
Australia,AUS,2004,Oil,Consumption,471.296,EJ,OWID,
Australia,AUS,2005,Oil,Consumption,478.702,EJ,OWID,
Australia,AUS,2006,Oil,Consumption,493.642,EJ,OWID,
Australia,AUS,2007,Oil,Consumption,506.27,EJ,OWID,
Australia,AUS,2008,Oil,Consumption,512.716,EJ,OWID,
Australia,AUS,2009,Oil,Consumption,504.141,EJ,OWID,
Australia,AUS,2010,Oil,Consumption,519.306,EJ,OWID,
Australia,AUS,2011,Oil,Consumption,547.06,EJ,OWID,
Australia,AUS,2012,Oil,Consumption,561.419,EJ,OWID,
Australia,AUS,2013,Oil,Consumption,578.037,EJ,OWID,
Australia,AUS,2014,Oil,Consumption,575.428,EJ,OWID,
Australia,AUS,2015,Oil,Consumption,570.779,EJ,OWID,
Australia,AUS,2016,Oil,Consumption,572.201,EJ,OWID,
Australia,AUS,2017,Oil,Consumption,599.949,EJ,OWID,
Australia,AUS,2018,Oil,Consumption,610.595,EJ,OWID,
Australia,AUS,2019,Oil,Consumption,604.199,EJ,OWID,
Australia,AUS,2020,Oil,Consumption,522.173,EJ,OWID,
Australia,AUS,2021,Oil,Consumption,535.72,EJ,OWID,
Australia,AUS,2022,Oil,Consumption,569.0,EJ,OWID,
Australia,AUS,2023,Oil,Consumption,602.696,EJ,OWID,
Australia,AUS,2024,Oil,Consumption,620.483,EJ,OWID,
Austria,AUT,1965,Oil,Consumption,65.297,EJ,OWID,
Austria,AUT,1966,Oil,Consumption,71.789,EJ,OWID,
Austria,AUT,1967,Oil,Consumption,76.548,EJ,OWID,
Austria,AUT,1968,Oil,Consumption,88.466,EJ,OWID,
Austria,AUT,1969,Oil,Consumption,97.226,EJ,OWID,
Austria,AUT,1970,Oil,Consumption,107.044,EJ,OWID,
Austria,AUT,1971,Oil,Consumption,119.607,EJ,OWID,
Austria,AUT,1972,Oil,Consumption,129.123,EJ,OWID,
Austria,AUT,1973,Oil,Consumption,139.928,EJ,OWID,
Austria,AUT,1974,Oil,Consumption,125.228,EJ,OWID,
Austria,AUT,1975,Oil,Consumption,126.559,EJ,OWID,
Austria,AUT,1976,Oil,Consumption,137.411,EJ,OWID,
Austria,AUT,1977,Oil,Consumption,131.587,EJ,OWID,
Austria,AUT,1978,Oil,Consumption,141.57,EJ,OWID,
Austria,AUT,1979,Oil,Consumption,147.409,EJ,OWID,
Austria,AUT,1980,Oil,Consumption,143.887,EJ,OWID,
Austria,AUT,1981,Oil,Consumption,130.631,EJ,OWID,
Austria,AUT,1982,Oil,Consumption,123.901,EJ,OWID,
Austria,AUT,1983,Oil,Consumption,120.08,EJ,OWID,
Austria,AUT,1984,Oil,Consumption,116.798,EJ,OWID,
Austria,AUT,1985,Oil,Consumption,116.986,EJ,OWID,
Austria,AUT,1986,Oil,Consumption,123.218,EJ,OWID,
Austria,AUT,1987,Oil,Consumption,126.86,EJ,OWID,
Austria,AUT,1988,Oil,Consumption,125.978,EJ,OWID,
Austria,AUT,1989,Oil,Consumption,124.222,EJ,OWID,
Austria,AUT,1990,Oil,Consumption,127.43,EJ,OWID,
Austria,AUT,1991,Oil,Consumption,136.873,EJ,OWID,
Austria,AUT,1992,Oil,Consumption,134.139,EJ,OWID,
Austria,AUT,1993,Oil,Consumption,136.786,EJ,OWID,
Austria,AUT,1994,Oil,Consumption,134.748,EJ,OWID,
Austria,AUT,1995,Oil,Consumption,135.624,EJ,OWID,
Austria,AUT,1996,Oil,Consumption,147.857,EJ,OWID,
Austria,AUT,1997,Oil,Consumption,147.184,EJ,OWID,
Austria,AUT,1998,Oil,Consumption,155.298,EJ,OWID,
Austria,AUT,1999,Oil,Consumption,147.59,EJ,OWID,
Austria,AUT,2000,Oil,Consumption,145.702,EJ,OWID,
Austria,AUT,2001,Oil,Consumption,155.139,EJ,OWID,
Austria,AUT,2002,Oil,Consumption,157.876,EJ,OWID,
Austria,AUT,2003,Oil,Consumption,167.63,EJ,OWID,
Austria,AUT,2004,Oil,Consumption,170.164,EJ,OWID,
Austria,AUT,2005,Oil,Consumption,170.741,EJ,OWID,
Austria,AUT,2006,Oil,Consumption,169.869,EJ,OWID,
Austria,AUT,2007,Oil,Consumption,163.243,EJ,OWID,
Austria,AUT,2008,Oil,Consumption,158.703,EJ,OWID,
Austria,AUT,2009,Oil,Consumption,149.565,EJ,OWID,
Austria,AUT,2010,Oil,Consumption,154.078,EJ,OWID,
Austria,AUT,2011,Oil,Consumption,145.069,EJ,OWID,
Austria,AUT,2012,Oil,Consumption,142.342,EJ,OWID,
Austria,AUT,2013,Oil,Consumption,145.649,EJ,OWID,
Austria,AUT,2014,Oil,Consumption,141.401,EJ,OWID,
Austria,AUT,2015,Oil,Consumption,142.845,EJ,OWID,
Austria,AUT,2016,Oil,Consumption,146.155,EJ,OWID,
Austria,AUT,2017,Oil,Consumption,146.429,EJ,OWID,
Austria,AUT,2018,Oil,Consumption,148.913,EJ,OWID,
Austria,AUT,2019,Oil,Consumption,153.201,EJ,OWID,
Austria,AUT,2020,Oil,Consumption,133.029,EJ,OWID,
Austria,AUT,2021,Oil,Consumption,140.215,EJ,OWID,
Austria,AUT,2022,Oil,Consumption,135.031,EJ,OWID,
Austria,AUT,2023,Oil,Consumption,134.105,EJ,OWID,
Austria,AUT,2024,Oil,Consumption,131.877,EJ,OWID,
Azerbaijan,AZE,1985,Oil,Consumption,97.186,EJ,OWID,
Azerbaijan,AZE,1986,Oil,Consumption,101.817,EJ,OWID,
Azerbaijan,AZE,1987,Oil,Consumption,95.827,EJ,OWID,
Azerbaijan,AZE,1988,Oil,Consumption,98.143,EJ,OWID,
Azerbaijan,AZE,1989,Oil,Consumption,95.701,EJ,OWID,
Azerbaijan,AZE,1990,Oil,Consumption,100.395,EJ,OWID,
Azerbaijan,AZE,1991,Oil,Consumption,96.801,EJ,OWID,
Azerbaijan,AZE,1992,Oil,Consumption,94.319,EJ,OWID,
Azerbaijan,AZE,1993,Oil,Consumption,94.055,EJ,OWID,
Azerbaijan,AZE,1994,Oil,Consumption,86.159,EJ,OWID,
Azerbaijan,AZE,1995,Oil,Consumption,77.677,EJ,OWID,
Azerbaijan,AZE,1996,Oil,Consumption,69.772,EJ,OWID,
Azerbaijan,AZE,1997,Oil,Consumption,66.403,EJ,OWID,
Azerbaijan,AZE,1998,Oil,Consumption,69.873,EJ,OWID,
Azerbaijan,AZE,1999,Oil,Consumption,67.245,EJ,OWID,
Azerbaijan,AZE,2000,Oil,Consumption,74.691,EJ,OWID,
Azerbaijan,AZE,2001,Oil,Consumption,47.594,EJ,OWID,
Azerbaijan,AZE,2002,Oil,Consumption,43.698,EJ,OWID,
Azerbaijan,AZE,2003,Oil,Consumption,50.912,EJ,OWID,
Azerbaijan,AZE,2004,Oil,Consumption,54.573,EJ,OWID,
Azerbaijan,AZE,2005,Oil,Consumption,63.799,EJ,OWID,
Azerbaijan,AZE,2006,Oil,Consumption,57.113,EJ,OWID,
Azerbaijan,AZE,2007,Oil,Consumption,56.479,EJ,OWID,
Azerbaijan,AZE,2008,Oil,Consumption,44.338,EJ,OWID,
Azerbaijan,AZE,2009,Oil,Consumption,37.847,EJ,OWID,
Azerbaijan,AZE,2010,Oil,Consumption,37.244,EJ,OWID,
Azerbaijan,AZE,2011,Oil,Consumption,48.97,EJ,OWID,
Azerbaijan,AZE,2012,Oil,Consumption,51.289,EJ,OWID,
Azerbaijan,AZE,2013,Oil,Consumption,55.715,EJ,OWID,
Azerbaijan,AZE,2014,Oil,Consumption,54.86,EJ,OWID,
Azerbaijan,AZE,2015,Oil,Consumption,55.601,EJ,OWID,
Azerbaijan,AZE,2016,Oil,Consumption,55.193,EJ,OWID,
Azerbaijan,AZE,2017,Oil,Consumption,55.699,EJ,OWID,
Azerbaijan,AZE,2018,Oil,Consumption,62.741,EJ,OWID,
Azerbaijan,AZE,2019,Oil,Consumption,63.159,EJ,OWID,
Azerbaijan,AZE,2020,Oil,Consumption,57.751,EJ,OWID,
Azerbaijan,AZE,2021,Oil,Consumption,65.339,EJ,OWID,
Azerbaijan,AZE,2022,Oil,Consumption,69.259,EJ,OWID,
Azerbaijan,AZE,2023,Oil,Consumption,72.102,EJ,OWID,
Azerbaijan,AZE,2024,Oil,Consumption,70.994,EJ,OWID,
Bangladesh,BGD,1965,Oil,Consumption,0.0,EJ,OWID,
Bangladesh,BGD,1966,Oil,Consumption,0.0,EJ,OWID,
Bangladesh,BGD,1967,Oil,Consumption,0.0,EJ,OWID,
Bangladesh,BGD,1968,Oil,Consumption,0.0,EJ,OWID,
Bangladesh,BGD,1969,Oil,Consumption,0.0,EJ,OWID,
Bangladesh,BGD,1970,Oil,Consumption,0.0,EJ,OWID,
Bangladesh,BGD,1971,Oil,Consumption,8.135,EJ,OWID,
Bangladesh,BGD,1972,Oil,Consumption,9.919,EJ,OWID,
Bangladesh,BGD,1973,Oil,Consumption,11.208,EJ,OWID,
Bangladesh,BGD,1974,Oil,Consumption,11.66,EJ,OWID,
Bangladesh,BGD,1975,Oil,Consumption,13.632,EJ,OWID,
Bangladesh,BGD,1976,Oil,Consumption,14.749,EJ,OWID,
Bangladesh,BGD,1977,Oil,Consumption,14.523,EJ,OWID,
Bangladesh,BGD,1978,Oil,Consumption,15.46,EJ,OWID,
Bangladesh,BGD,1979,Oil,Consumption,17.112,EJ,OWID,
Bangladesh,BGD,1980,Oil,Consumption,19.291,EJ,OWID,
Bangladesh,BGD,1981,Oil,Consumption,19.893,EJ,OWID,
Bangladesh,BGD,1982,Oil,Consumption,19.621,EJ,OWID,
Bangladesh,BGD,1983,Oil,Consumption,17.547,EJ,OWID,
Bangladesh,BGD,1984,Oil,Consumption,17.682,EJ,OWID,
Bangladesh,BGD,1985,Oil,Consumption,19.739,EJ,OWID,
Bangladesh,BGD,1986,Oil,Consumption,21.275,EJ,OWID,
Bangladesh,BGD,1987,Oil,Consumption,20.945,EJ,OWID,
Bangladesh,BGD,1988,Oil,Consumption,20.984,EJ,OWID,
Bangladesh,BGD,1989,Oil,Consumption,22.942,EJ,OWID,
Bangladesh,BGD,1990,Oil,Consumption,22.228,EJ,OWID,
Bangladesh,BGD,1991,Oil,Consumption,20.623,EJ,OWID,
Bangladesh,BGD,1992,Oil,Consumption,23.004,EJ,OWID,
Bangladesh,BGD,1993,Oil,Consumption,25.769,EJ,OWID,
Bangladesh,BGD,1994,Oil,Consumption,26.857,EJ,OWID,
Bangladesh,BGD,1995,Oil,Consumption,34.853,EJ,OWID,
Bangladesh,BGD,1996,Oil,Consumption,35.606,EJ,OWID,
Bangladesh,BGD,1997,Oil,Consumption,40.877,EJ,OWID,
Bangladesh,BGD,1998,Oil,Consumption,45.056,EJ,OWID,
Bangladesh,BGD,1999,Oil,Consumption,40.184,EJ,OWID,
Bangladesh,BGD,2000,Oil,Consumption,39.488,EJ,OWID,
Bangladesh,BGD,2001,Oil,Consumption,47.167,EJ,OWID,
Bangladesh,BGD,2002,Oil,Consumption,42.876,EJ,OWID,
Bangladesh,BGD,2003,Oil,Consumption,43.894,EJ,OWID,
Bangladesh,BGD,2004,Oil,Consumption,45.732,EJ,OWID,
Bangladesh,BGD,2005,Oil,Consumption,46.996,EJ,OWID,
Bangladesh,BGD,2006,Oil,Consumption,47.272,EJ,OWID,
Bangladesh,BGD,2007,Oil,Consumption,45.713,EJ,OWID,
Bangladesh,BGD,2008,Oil,Consumption,45.394,EJ,OWID,
Bangladesh,BGD,2009,Oil,Consumption,42.926,EJ,OWID,
Bangladesh,BGD,2010,Oil,Consumption,47.633,EJ,OWID,
Bangladesh,BGD,2011,Oil,Consumption,60.02,EJ,OWID,
Bangladesh,BGD,2012,Oil,Consumption,68.357,EJ,OWID,
Bangladesh,BGD,2013,Oil,Consumption,69.64,EJ,OWID,
Bangladesh,BGD,2014,Oil,Consumption,76.665,EJ,OWID,
Bangladesh,BGD,2015,Oil,Consumption,92.684,EJ,OWID,
Bangladesh,BGD,2016,Oil,Consumption,96.11,EJ,OWID,
Bangladesh,BGD,2017,Oil,Consumption,108.254,EJ,OWID,
Bangladesh,BGD,2018,Oil,Consumption,124.194,EJ,OWID,
Bangladesh,BGD,2019,Oil,Consumption,121.873,EJ,OWID,
Bangladesh,BGD,2020,Oil,Consumption,102.776,EJ,OWID,
Bangladesh,BGD,2021,Oil,Consumption,140.567,EJ,OWID,
Bangladesh,BGD,2022,Oil,Consumption,166.144,EJ,OWID,
Bangladesh,BGD,2023,Oil,Consumption,139.369,EJ,OWID,
Bangladesh,BGD,2024,Oil,Consumption,160.466,EJ,OWID,
Belarus,BLR,1985,Oil,Consumption,296.34,EJ,OWID,
Belarus,BLR,1986,Oil,Consumption,350.119,EJ,OWID,
Belarus,BLR,1987,Oil,Consumption,346.306,EJ,OWID,
Belarus,BLR,1988,Oil,Consumption,335.469,EJ,OWID,
Belarus,BLR,1989,Oil,Consumption,314.127,EJ,OWID,
Belarus,BLR,1990,Oil,Consumption,311.878,EJ,OWID,
Belarus,BLR,1991,Oil,Consumption,306.031,EJ,OWID,
Belarus,BLR,1992,Oil,Consumption,228.174,EJ,OWID,
Belarus,BLR,1993,Oil,Consumption,175.192,EJ,OWID,
Belarus,BLR,1994,Oil,Consumption,142.899,EJ,OWID,
Belarus,BLR,1995,Oil,Consumption,124.317,EJ,OWID,
Belarus,BLR,1996,Oil,Consumption,122.274,EJ,OWID,
Belarus,BLR,1997,Oil,Consumption,107.041,EJ,OWID,
Belarus,BLR,1998,Oil,Consumption,101.113,EJ,OWID,
Belarus,BLR,1999,Oil,Consumption,92.492,EJ,OWID,
Belarus,BLR,2000,Oil,Consumption,91.411,EJ,OWID,
Belarus,BLR,2001,Oil,Consumption,88.449,EJ,OWID,
Belarus,BLR,2002,Oil,Consumption,93.126,EJ,OWID,
Belarus,BLR,2003,Oil,Consumption,94.287,EJ,OWID,
Belarus,BLR,2004,Oil,Consumption,92.366,EJ,OWID,
Belarus,BLR,2005,Oil,Consumption,85.994,EJ,OWID,
Belarus,BLR,2006,Oil,Consumption,100.911,EJ,OWID,
Belarus,BLR,2007,Oil,Consumption,91.785,EJ,OWID,
Belarus,BLR,2008,Oil,Consumption,91.367,EJ,OWID,
Belarus,BLR,2009,Oil,Consumption,105.462,EJ,OWID,
Belarus,BLR,2010,Oil,Consumption,90.624,EJ,OWID,
Belarus,BLR,2011,Oil,Consumption,98.655,EJ,OWID,
Belarus,BLR,2012,Oil,Consumption,121.08,EJ,OWID,
Belarus,BLR,2013,Oil,Consumption,90.81,EJ,OWID,
Belarus,BLR,2014,Oil,Consumption,93.064,EJ,OWID,
Belarus,BLR,2015,Oil,Consumption,78.404,EJ,OWID,
Belarus,BLR,2016,Oil,Consumption,84.304,EJ,OWID,
Belarus,BLR,2017,Oil,Consumption,83.84,EJ,OWID,
Belarus,BLR,2018,Oil,Consumption,97.424,EJ,OWID,
Belarus,BLR,2019,Oil,Consumption,99.327,EJ,OWID,
Belarus,BLR,2020,Oil,Consumption,95.61,EJ,OWID,
Belarus,BLR,2021,Oil,Consumption,97.095,EJ,OWID,
Belarus,BLR,2022,Oil,Consumption,92.662,EJ,OWID,
Belarus,BLR,2023,Oil,Consumption,91.938,EJ,OWID,
Belarus,BLR,2024,Oil,Consumption,92.523,EJ,OWID,
Belgium,BEL,1965,Oil,Consumption,188.465,EJ,OWID,
Belgium,BEL,1966,Oil,Consumption,192.26,EJ,OWID,
Belgium,BEL,1967,Oil,Consumption,212.032,EJ,OWID,
Belgium,BEL,1968,Oil,Consumption,246.159,EJ,OWID,
Belgium,BEL,1969,Oil,Consumption,284.007,EJ,OWID,
Belgium,BEL,1970,Oil,Consumption,309.816,EJ,OWID,
Belgium,BEL,1971,Oil,Consumption,317.506,EJ,OWID,
Belgium,BEL,1972,Oil,Consumption,343.472,EJ,OWID,
Belgium,BEL,1973,Oil,Consumption,360.634,EJ,OWID,
Belgium,BEL,1974,Oil,Consumption,317.684,EJ,OWID,
Belgium,BEL,1975,Oil,Consumption,301.49,EJ,OWID,
Belgium,BEL,1976,Oil,Consumption,314.482,EJ,OWID,
Belgium,BEL,1977,Oil,Consumption,309.31,EJ,OWID,
Belgium,BEL,1978,Oil,Consumption,330.051,EJ,OWID,
Belgium,BEL,1979,Oil,Consumption,328.017,EJ,OWID,
Belgium,BEL,1980,Oil,Consumption,303.173,EJ,OWID,
Belgium,BEL,1981,Oil,Consumption,277.881,EJ,OWID,
Belgium,BEL,1982,Oil,Consumption,263.125,EJ,OWID,
Belgium,BEL,1983,Oil,Consumption,238.756,EJ,OWID,
Belgium,BEL,1984,Oil,Consumption,231.012,EJ,OWID,
Belgium,BEL,1985,Oil,Consumption,234.479,EJ,OWID,
Belgium,BEL,1986,Oil,Consumption,264.944,EJ,OWID,
Belgium,BEL,1987,Oil,Consumption,266.848,EJ,OWID,
Belgium,BEL,1988,Oil,Consumption,275.227,EJ,OWID,
Belgium,BEL,1989,Oil,Consumption,270.306,EJ,OWID,
Belgium,BEL,1990,Oil,Consumption,279.091,EJ,OWID,
