Report generated on: 01-12-2026 09:40:44
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.26-1-ARM-BCF.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-ABW-BCF.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-AUS-BCF.A","        Australia","313","366","403","422","441","463","516","532","555","570","723","753","804.793535","863.8","932.45726","1033.3169","1064.67662","1056.20102","1096.67201","1116.413095","1159.002985","1185.206715","1234.96555","1204.418075","1210.5982","1265.6896","1323.782775","1397.167345","1437.638335","1492.447215","1859.370065","1991.69537","1907.610355","2179.818375","2212.20223","2546.169816","3269.11332","3851.302864","4464.763924","5124.903311","5112.093498","5195.574816","5430.787611","5343.347052"
"INTL.26-1-AUT-BCF.A","        Austria","75","51","47","43","45","41","39","41","44","47","45","47","51","53","47.85","52.34","52.68998","50.42982","55.37392","61.4481","63.743575","61.16558","66.3922","73.843665","69.323345","61.02432","67.769485","68.86425","57.06904","58.093175","60.10613","59.223255","63.672945","51.171435","46.651115","44.602845","41.8832342","44.8143543","36.42782697","32.64899727","26.75442361","24.05186649","21.83184023","19.38690947"
"INTL.26-1-AZE-BCF.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","275.457","240.142","225.31","231.99","236.61","210.4774","197.41085","211.89","199.8829","202.0018","181.87225","181.16595","176.92815","205.5333","240.8483","358.8004","541.0258","541.7321","552.3266","542.08525","568.21835","589.7605","618.0125","635.67","617.3769854","598.5542503","634.442852","814.8903746","867.8624246","1108.002385","1206.883545","1263.387065"
"INTL.26-1-BHR-BCF.A","        Bahrain","100","120","130","140","133","164","180","217","182","186","205","233","187.8758","233.7853","229.19","229.19","232.01955","281.46055","292.76135","296.99915","302.64955","314.3035","334.0799","339.7303","344.32125","378.22365","400.11895","416.0107","438.25915","440.7312","450.97255","445.6753","483.8155","519.1305","547.3825","547.3825","541.379001","561.1199183","567.7568038","627.3195332","633.9312458","645.4119153","652.1961124","690.3912778"
"INTL.26-1-BGD-BCF.A","        Bangladesh","50","60","65","69","95","100","113","131","150","164","162","173","206.2396","215.77","234.84","260.27","266.9814","269.45345","289.583","319.60075","342.5555","363.7445","391.9965","429.07725","462.6265","494.41","541.0258","574.57505","632.1385","692.174","710.89095","710.18465","777.98945","805.182","819.7662896","892.2472197","975.0427438","975.1459595","972.7707454","966.450025","886.9164216","882.4344734","841.3839029","788.7004073"
"INTL.26-1-BRB-BCF.A","        Barbados","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.9","1","1.20071","1.165395","1.69512","1.659805","1.62449","1.659805","1.589175","1.518545","1.306655","1.659805","1.33886934097421","1.13790315186246","1.024135","1.024135","0.736664642","0.72708","0.727445","0.739171986","0.727694708","0.693757282","0.683268816","0.675238","0.72682","0.768235984","0.733662893","0.703821971","0.60647693","0.520962454","1.019111613","0.906881496","0.392770093","0.344636157","0.281196067",".28099952"
"INTL.26-1-BLR-BCF.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","10.24","10.24","10.24","10.59","10.59","7.063","7.7693","7.41615","7.098315","7.063","6.70985","5.6504","6.3567","6.07418","6.00355","5.6504","5.36788","5.29725","0.953505","1.05945","0.7063","1.34197","1.05945","1.05945","0.7769324","2.0835763","2.2241643","2.4350463","2.3647523","2.6107813","2.6107813","2.418843533"
"INTL.26-1-BEL-BCF.A","        Belgium","1.4","1.1","1.1","0.6","1.3","1.4","0.9","1","0.6","0.5","0.42","0.318","0.212","0.1413","0.04","0","0.07063","0","0","0","0.07063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1370733","0.210882","0.1827644","0.4744845","0.456911"
"INTL.26-1-BLZ-BCF.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-BEN-BCF.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-BMU-BCF.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-BTN-BCF.A","        Bhutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-BOL-BCF.A","        Bolivia","79","78","81","84","92","89","92","91","98","107","107","104","110","103.11","104.89","113.36","109.12335","111.94855","107.00445","87.22805","117.2458","165.2742","204.827","254.9743","354.91575","436.14025","465.80485","497.58835","517.753215","445.6753","507.47655","555.1518","632.49165","723.2512","741.615","732.371339","697.856985","676.1332218","631.7881941","554.3413914","534.3672034","550.0175389","499.6534125","434.4324879"
"INTL.26-1-BIH-BCF.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","0.812","0","0","31.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-BWA-BCF.A","        Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-BRA-BCF.A","        Brazil","42","42","46","57","74","92","90","105","97","123","97","118.86","130.31235","146","152.2","159.27","178.34075","194.9388","204.827","217.89355","257.44635","233.7853","287.11095","311.4783","341.1429","345.02755","348.9122","347.4996","445.6753","420.2119165","514.0988304","589.6383251","678.8144856","751.2657787","799.13804","814.7739173","825.6953781","930.35847","860.2094797","881.2452773","829.5549706","832.8524259","787.3292202","801.7080315"
"INTL.26-1-VGB-BCF.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-BRN-BCF.A","        Brunei","316","343","324","331","303","295","293","308","304","307","318","277","286.0515","292.40845","297.35","330.2","325.25115","324.1917","315.0098","333.72675","349.26535","365.51025","383.16775","402.591","406.1225","406.1225","487.347","474.98675","473.221","399.0595","416.717","439.3186","417.77645","421.30795","388.81815","423.78","409.6894347","450.1953956","446.6810034","453.4995213","441.3738064","402.6262401","370.0277411","356.4258521"
"INTL.26-1-BGR-BCF.A","        Bulgaria","4.5","4.2","3","3.5","3","4","5","4.4","0.4","0.4","0.353","0.324549696969697","1.4126","2.472","2.12","1.77","1.41","1.4126","1.05945","0.7063","0.7063","0.7063","0.716327236180904","0.752635269271383","12.5218380446334","116.872861087866","16.9754786817714","10.5945","3.88465","0.35315","1.76575","12.36025","13.4445101879327","9.81757","6.3567","3.68526389713155","3.2842671","2.825176","1.162071095","1.36961413","2.204963423","1.26652341","0.735838874","0.368838337"
"INTL.26-1-BFA-BCF.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-MMR-BCF.A","        Burma","11","12","16","19","23","28","38","40","37","38","38","36.4071104536489","35.85","38.846","50.5","57.92","56.504","53.32565","62.1544","60.7418","120.42415","247.205","296.646","339.024","360.213","459.095","444.969","477.4588","437.906","407.5351","425.54575","420.60165","422.72055","435.0808","534.6691","618.0125","669.6072767","649.5132124","598.1500798","612.5880752","592.7606961","607.7201516","532.02383","478.4864"
"INTL.26-1-BDI-BCF.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-CPV-BCF.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-KHM-BCF.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-CMR-BCF.A","        Cameroon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7063","0.7063","0.7063","0.7063","0.706299999999999","7.41615","5.29724999999999","9.60568","1.7763568394002e-15","16.562735","18.355232","19.585377","21.694197","56.841197","83.552917","84.255857","82.498507","84.958797","83.18755689"
"INTL.26-1-CAN-BCF.A","        Canada","2759","2670","2723","2561","2787","3041","2862","3103","3574","3727","3848.98","4057.5","4520.28","4909.95","5265.97","5602.97","5710.894595","5762.34855","5976.0043","6265.23415","6469.708","6596.842","6631.4507","6453.4631","6482.91581","6560.856015","6547.930725","6415.74668","6045.751425","5633.66069","5876.142846","6019.395672","5804.935738","5771.680114","6023.898198","6165.229206","6120.413246","6217.668284","6485.25285","6068.211941","5959.582766","6196.373151","6628.913579","6854.756704"
"INTL.26-1-CYM-BCF.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-CAF-BCF.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-TCD-BCF.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-CHL-BCF.A","        Chile","85","85","49","46","48","44","26","26","35","57","66","52","55.44455","61.8","68.51","67.1","63.92015","75.22095","70.27685","42.378","40.2591","42.378","69.747125","58.26975","57.740025","67.87543","65.19149","62.79007","61.200895","68.29921","65.82716","56.15085","44.28501","34.502755","28.216685","35.59752","42.6251453","43.2254952","44.06477041","49.71512241","48.30253441","44.41791741","48.26809553","48.09236053"
"INTL.26-1-CHN-BCF.A","        China","505","450","381","431","438","457","484","494","491","505","508","526","533.2565","558.33","588.7","601.41","711.844455","801.29735","821.603475","889.337645","962.33375","1070.39765","1152.6816","1211.3045","1439.4394","1762.9248","2066.56317","2446.27005","2685.3526","2975.00623","3278.351613","3557.677719","3821.042333","4061.505676","4479.627363","4631.608523","5007.397558","5358.897365","5839.130074","6332.548363","6907.856044","7485.592649","7957.844611","8454.385801"
"INTL.26-1-COL-BCF.A","        Colombia","99","106","106","102","143","144","144","140","146","146","151","155","150.79505","157","162.45","160.68","167.3931","210.83055","221.0719","182.9317","201.2955","215.06835","217.5404","215.06835","224.6034","235.55105","254.9743","269.8066","317.835","370.45435","397.6469","386.69925","421.30795","452.032","447.7942","420.579790041688","382.6038745","373.4576215","396.2708815","405.2228815","399.2358715","403.4248516","398.6887965","385.8663977"
"INTL.26-1-COM-BCF.A","        Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-COG-BCF.A","        Congo-Brazzaville","0.5","0.6","0.6","0.7","0.7","2","0.4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2378","6.3567","10.24135","13.06655","18.71695","32.84295","40.61225","41.283235","58.26975","32.77861093","32.77861093","30.5933702","30.37484613","30.6178449","20.49260065","14.2957971","14.6556005","14.9381181","15.0087475"
"INTL.26-1-COD-BCF.A","        Congo-Kinshasa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.353149999999999","0.353149999999999","0.353149999999999","0.353149999999999","0.353149999999999","0.353149999999999","0","0.013601889","0.013426154","0.013426154","0","0","0","0"
"INTL.26-1-COK-BCF.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-CRI-BCF.A","        Costa Rica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-CIV-BCF.A","        Cote d'Ivoire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.41","12.7134","21.189","28.252","47.3221","47.67525","47.67525","47.3221","47.3221","45.9095","45.9095","45.9095","52.9725","56.504","56.504","58.446325","57.56345","62.8607","72.18386","72.784215","72.854845","81.5775759","81.5775759","75.43595397","80.5213734","82.60653947","88.12518082","94.38623226","87.35194682"
"INTL.26-1-HRV-BCF.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","64.273","73.03142","63.57","69.57","63.57","56.504","55.44455","54.73825","58.6229","62.1544","54.73825","65.33275","57.9166","54.3851","55.7977","71.936655","71.866025","69.9237","66.88661","63.743575","59.89424","52.2662","49.335055","47.639935","42.7665064","37.0102103","43.2343247","36.1627483","30.05279995","26.2161473","26.18426897","25.50533437"
"INTL.26-1-CUB-BCF.A","        Cuba","0.6","0.3","0.3","0.3","0.1","0.2","0.2","0.8","0.7","1.1","1.14","1.18","1.22","1.25","1.22","1.44840496657116","1.518545","26.48625","14.126","17.6575","21.189","10.5945","12.36025","13.06655","13.06655","14.126","14.126","21.189","40.9654","40.9654","37.78705","36.37445","36.51571","37.64579","42.378","44.14375","42.024868","37.3081406","34.4717777","33.80282485","31.82608728","30.7251075","30.0221675","30.0221675"
"INTL.26-1-CYP-BCF.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-CZE-BCF.A","        Czechia","--","--","--","--","--","--","--","--","--","--","--","--","--","8.405","10.28","8.97","8.33434","7.62804","8.05182","8.12245","7.733985","5.6504","5.403195","5.93292","7.592725","7.098315","6.85111","7.098315","7.027685","7.945875","8.68749","8.299025","9.287845","8.89938","9.146585","8.722805","7.6986787","8.0871404","7.691350033","7.38384893","6.68090893","7.201119677","7.936078594","5.768035899"
"INTL.26-1-DNK-BCF.A","        Denmark","0","0","0","1.5","11","43","72","92","93","109","111","139","145.04","159.482","172.34","186.78","226.7223","272.98495","267.6877","274.39755","289.22985","295.9397","296.01033","281.283975","333.02045","368.935805","367.77041","325.710245","356.151775","297.316985","290.253985","232.86711","203.48503","171.313065","163.29656","163.08467","159.5532","170.7832746","152.0964246","119.7337727","63.99824827","66.37346829","68.8762315","71.36491543"
"INTL.26-1-DJI-BCF.A","        Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-DMA-BCF.A","        Dominica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-DOM-BCF.A","        Dominican Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-ECU-BCF.A","        Ecuador","3","1.9","2","3","4","4","3","1.9","2.8","2.8","4","3.22616538461538","3.5315","3.53","3.53","4.24","4.2378","3.5315","3.5315","3.5315","4.9441","5.6504","3.5315","5.29725","6.00355","9.1819","9.8882","9.711625","9.1819","10.45324","11.65395","8.51091499999999","18.257855","18.187225","20.41207","17.551555","19.31729","16.872369837093","13.39228964","12.09185063","10.1808746","10.52729869","9.566515429","9.572158878"
"INTL.26-1-EGY-BCF.A","        Egypt","30","50","94","113","143","175","200","222","244","273","286","321","349.12409","398.70635","423.42","438.96","473.221","476.7525","485.2281","518.07105","646.2645","866.98325","882.875","1058.39055","1149.8564","1500.8875","1931.7305","1967.0455","2082.52555","2213.89735","2165.86895","2163.3969","2144.220855","2009.4235","1723.372","1565.44332","1496.8268579","1796.0129963","2116.754747","2305.494137","2129.001614","2408.474847","2288.975047","2019.327263"
"INTL.26-1-SLV-BCF.A","        El Salvador","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-GNQ-BCF.A","        Equatorial Guinea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7063","0.7063","1.05945","1.05945","44.85005","45.9095","3.5315","45.9095","45.9095","103.1198","210.12425","221.42505","238.0231","242.9672","224.95655","231.31325","217.5404","218.953","234.206798","247.0033575","221.7078329","199.3882524","180.044616","210.6272333","242.2538928","212.3415083"
"INTL.26-1-ERI-BCF.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-EST-BCF.A","        Estonia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-SWZ-BCF.A","        Eswatini","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-ETH-BCF.A","        Ethiopia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-FLK-BCF.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-FRO-BCF.A","        Faroe Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-FJI-BCF.A","        Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-FIN-BCF.A","        Finland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-CSK-BCF.A","        Former Czechoslovakia","18","23","23","21","26","25","25","23","31","30","25","20","9.89","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.26-1-SCG-BCF.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","29.876","33.97303","27.8","32","23.696365","24.29672","33.26673","23.978885","19.176045","21.25963","21.189","11.65395","8.4756","8.82875","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.26-1-SUN-BCF.A","        Former U.S.S.R.","15370","16430","17680","18927","20744","22707","24195","25358","27192","28111","28782","28623","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.26-1-YUG-BCF.A","        Former Yugoslavia","64","67","62","56","72","82","86","77","107","101","94","92","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.26-1-FRA-BCF.A","        France","280","258","250","247","237","202","159","134","113","108","101","114","111.38","120.88","124.767895","118.41","102.801965","91.32459","79.88253","72.996105","66.32157","67.45165","65.33275","56.85715","49.441","40.61225","43.43745","38.1402","32.4898","31.0772","26.48625","21.8953","18.469745","12.0071","0.600355","0.741615","0.7063003","0.5650415","0.30956069","0.573253896","0.622169649","0.798574773","0.710963934","0.633107555"
"INTL.26-1-GUF-BCF.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie","ie"
"INTL.26-1-PYF-BCF.A","        French Polynesia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-GAB-BCF.A","        Gabon","2.5","2.1","2","5.3","5.3","2","1","4.1","3.5","3.2","3","3.54859216809933","3.5315","3.5315","3.53","3.53","3.5315","3.5315","3.5315","3.5315","2.8252","2.8252","3.17835","3.17835","3.5315","3.5315","3.5315","2.8252","2.8252","2.82519999999999","2.82519999999999","2.47205000000001","13.596275","11.23017","19.423085","19.423085","19.46193117","17.19731529","18.71332239","16.3860208","17.7279794","16.0328738","16.3507061","16.3507061"
"INTL.26-1-GMB-BCF.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.26-1-GEO-BCF.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","0.71","0","0","0","0","2.1189","2.1189","2.1189","2.1189","2.1189","0.459095","0.7063","0.7063","0.529725","0.35315","0.35315","0.28252","0.35315","0.176575","0.105945","0.07063","0.21189","0.035315","0.35315","0.22473181818182","0.26004651818182","0.318777155","0.318777155","0.215440227","0.397143206","0.309346","0.38034294"
"INTL.26-1-DEU-BCF.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","668","677.8","677.659","702.98039","744.05","804.299125","792.32734","772.233105","823.369225","778.660435","785.12308","787.87765","763.93408","698.31881","688.92502","718.02458","709.61961","626.876565","621.04959","532.161735","523.686135","462.20272","431.5493","334.397735","308.29995","319.0003041","291.2614901","229.8771607","211.7439452","181.1261003","178.7247007","170.3551168","153.1568579"
"INTL.26-1-DDR-BCF.A","        Germany, East","246","277","242","303","330","332","303","291","307","280","136","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.26-1-DEUW-BCF.A","        Germany, West","679","688","590","629","658","597","547","632","589","580","579","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
