country,iso_code,region
Mali,MLI,Sub-Saharan Africa
Malta,MLT,Europe & Central Asia
Martinique,MTQ,Latin America & Caribbean
Mauritania,MRT,Sub-Saharan Africa
Mauritius,MUS,Sub-Saharan Africa
Mexico,MEX,Latin America & Caribbean
Moldova,MDA,Europe & Central Asia
Mongolia,MNG,East Asia & Pacific
Montenegro,MNE,Europe & Central Asia
Montserrat,MSR,Latin America & Caribbean
Morocco,MAR,Middle East & North Africa
Mozambique,MOZ,Sub-Saharan Africa
Myanmar,MMR,East Asia & Pacific
Namibia,NAM,Sub-Saharan Africa
Nauru,NRU,East Asia & Pacific
Nepal,NPL,South Asia
Netherlands,NLD,Europe & Central Asia
New Caledonia,NCL,East Asia & Pacific
New Zealand,NZL,East Asia & Pacific
Nicaragua,NIC,Latin America & Caribbean
Niger,NER,Sub-Saharan Africa
Nigeria,NGA,Sub-Saharan Africa
Niue,NIU,East Asia & Pacific
North Korea,PRK,East Asia & Pacific
North Macedonia,MKD,Europe & Central Asia
Norway,NOR,Europe & Central Asia
Oman,OMN,Middle East & North Africa
Pakistan,PAK,South Asia
Palestine,PSE,Middle East & North Africa
Panama,PAN,Latin America & Caribbean
Papua New Guinea,PNG,East Asia & Pacific
Paraguay,PRY,Latin America & Caribbean
Peru,PER,Latin America & Caribbean
Philippines,PHL,East Asia & Pacific
Poland,POL,Europe & Central Asia
Portugal,PRT,Europe & Central Asia
Puerto Rico,PRI,Latin America & Caribbean
Qatar,QAT,Middle East & North Africa
Reunion,REU,Sub-Saharan Africa
Romania,ROU,Europe & Central Asia
Russia,RUS,Europe & Central Asia
Rwanda,RWA,Sub-Saharan Africa
Saudi Arabia,SAU,Middle East & North Africa
Senegal,SEN,Sub-Saharan Africa
Serbia,SRB,Europe & Central Asia
Seychelles,SYC,Sub-Saharan Africa
Sierra Leone,SLE,Sub-Saharan Africa
Singapore,SGP,East Asia & Pacific
Slovakia,SVK,Europe & Central Asia
Slovenia,SVN,Europe & Central Asia
Solomon Islands,SLB,East Asia & Pacific
Somalia,SOM,Sub-Saharan Africa
South Africa,ZAF,Sub-Saharan Africa
South Sudan,SSD,Sub-Saharan Africa
Spain,ESP,Europe & Central Asia
Sri Lanka,LKA,South Asia
Sudan,SDN,Sub-Saharan Africa
Suriname,SUR,Latin America & Caribbean
Sweden,SWE,Europe & Central Asia
Switzerland,CHE,Europe & Central Asia
Syria,SYR,Middle East & North Africa
Taiwan,TWN,East Asia & Pacific
Tajikistan,TJK,Europe & Central Asia
Tanzania,TZA,Sub-Saharan Africa
Thailand,THA,East Asia & Pacific
Togo,TGO,Sub-Saharan Africa
Tonga,TON,East Asia & Pacific
Trinidad and Tobago,TTO,Latin America & Caribbean
Tunisia,TUN,Middle East & North Africa
Turkey,TUR,Europe & Central Asia
Turkmenistan,TKM,Europe & Central Asia
Uganda,UGA,Sub-Saharan Africa
Ukraine,UKR,Europe & Central Asia
United Arab Emirates,ARE,Middle East & North Africa
United Kingdom,GBR,Europe & Central Asia
United States,USA,North America
United States Virgin Islands,VIR,Latin America & Caribbean
Uruguay,URY,Latin America & Caribbean
Uzbekistan,UZB,Europe & Central Asia
Vanuatu,VUT,East Asia & Pacific
Venezuela,VEN,Latin America & Caribbean
Vietnam,VNM,East Asia & Pacific
Western Sahara,ESH,Middle East & North Africa
Yemen,YEM,Middle East & North Africa
Zambia,ZMB,Sub-Saharan Africa
Zimbabwe,ZWE,Sub-Saharan Africa
Hong Kong,HKG,East Asia & Pacific
South Korea,KOR,East Asia & Pacific
Cook Islands,COK,East Asia & Pacific
Falkland Islands,FLK,Latin America & Caribbean
Northern Mariana Islands,MNP,East Asia & Pacific
Saint Helena,SHN,Sub-Saharan Africa
Saint Kitts and Nevis,KNA,Latin America & Caribbean
Saint Lucia,LCA,Latin America & Caribbean
Saint Pierre and Miquelon,SPM,North America
Saint Vincent and the Grenadines,VCT,Latin America & Caribbean
